"group","ann.cons.g","wmax","beta","sigma","wmat","w_indep","w_birth"
"Adelie Penguin",23664.1221374046,6000,0.0002975,8.75e-05,4000,6000,100
"Antarctic Fur Seals",1700000,157000,0.00392,0.000841,157000,80000,16600
"blue whale",450374331.550802,1.03e+08,1.15533980582524e-08,3.39805825242718e-09,1.03e+08,10300000,2500000
"Crabeater Seals",2180492,212000,5.61e-06,1.65e-06,180000,40000,10000
"Crested Penguin",197980,4300,0.00039922480620155,0.000110516104103746,4300,4500,94
"Dolphins",1561293.43682593,123000,0.00024966838614591,0.00107162859248342,123000,12300,12000
"Elephant Seals",4200426,2024000,0.000277,0.000206,2024000,135000,35000
"Emperor Penguin",2317750,40000,0.00174389901823282,0.00221324402008101,23000,12500,450
"fin whale",220434042.553191,4.6e+07,2.58695652173913e-08,2.58695652173913e-08,4.6e+07,4600000,1775000
"flying birds - coastal",256153.846153846,2230,0.00681818181818182,0.00545454545454545,2230,2230,60
"Flying birds - large",212989.413543942,4191.25,0.0462397859352943,0.03926475676248,4191.25,4191.25,275.428571428571
"Flying birds - med",49358.5234594103,412.916666666667,0.00610204774410628,0.00674510493691222,412.916666666667,412.916666666667,71.8333333333333
"Flying birds - small",7279.39142461964,40,0.0096453125,0.0222814276524007,40,40,6
"Gentoo Penguin",66666.6666666667,4500,0.00951472222222222,0.0171664820018834,4500,6700,135
"humpback whale",107973333.333333,2.7e+07,4.40740740740741e-08,1.2962962962963e-08,2.7e+07,2700000,1200000
"King Penguin",1168000,17000,0.00271344537815126,0.00556839068222731,17000,10000,304
"Leopard Seals",3661840,348000,0.089,0.156,348000,2e+05,104000
"minke whale",27516417.9104478,6e+06,1.98333333333333e-07,5.83333333333333e-08,6e+06,6e+05,350000
"Orca",20327983.5390947,6e+06,1.79229089252772,0.350372103745663,4900000,490000,3e+05
"Ross Seals",3113450,2e+05,0.0028,0.0021,2e+05,30000,20000
"sei whale",84169379.0881573,22500000,5.28888888888889e-08,1.55555555555556e-08,22500000,2250000,780000
"Southern Right Whales",346428571.428571,5.5e+07,2.26849315068493e-05,8.42191780821918e-05,5.5e+07,5500000,1e+06
"Sperm Whales",175553276.383871,36500000,2.26849315068493e-05,8.42191780821918e-05,36500000,3650000,1e+06
"Weddell Seals",5145405,375000,0.000178,0.000175,375000,110000,25000
"Ziphiids",11357091.7418062,1283000,4.79797488073216e-05,0.000102969525849479,1283000,128300,102500
