group,simple_group,group_names_catch
Adelie Penguin,small divers,small divers
Antarctic Fur Seals,medium divers,medium divers
blue whale,baleen whales,baleen whales
Crabeater Seals,medium divers,medium divers
Crested Penguin,small divers,small divers
Dolphins,medium divers,medium divers
Elephant Seals,large divers,large divers
Emperor Penguin,medium divers,medium divers
fin whale,baleen whales,baleen whales
flying birds - coastal,flying birds,flying birds
Flying birds - large,flying birds,flying birds
Flying birds - med,flying birds,flying birds
Flying birds - small,flying birds,flying birds
Gentoo Penguin,small divers,small divers
humpback whale,baleen whales,baleen whales
King Penguin,medium divers,medium divers
Leopard Seals,apex predators,leopard seals
minke whale,baleen whales,minke whales
Orca,apex predators,orca
Ross Seals,medium divers,medium divers
sei whale,baleen whales,baleen whales
Southern Right Whales,baleen whales,baleen whales
Sperm Whales,large divers,sperm whales
Weddell Seals,medium divers,medium divers
Ziphiids,medium divers,medium divers
